,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
11,0.1666666666666669,0.0,0.2019034670292318,0.6529051987767585,0.1468624833110814,1.0,0.2479919678714859,0.2741935483870968,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
32,0.1666666666666669,0.0,0.2012236573759347,0.6529051987767585,0.1415220293724966,0.870967741935484,0.2319277108433735,0.4677419354838709,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,2
45,0.1666666666666669,0.0,0.2016768638114661,0.6529051987767585,0.1415220293724966,0.7419354838709675,0.2319277108433735,0.4193548387096774,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
64,0.1666666666666669,0.0,0.2043961024246544,0.6529051987767585,0.1415220293724966,0.7741935483870965,0.2359437751004016,0.2580645161290321,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
69,0.1666666666666669,0.0,0.2019034670292318,0.6529051987767585,0.130841121495327,0.7741935483870965,0.2208835341365461,0.1935483870967741,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
117,0.1666666666666669,0.4496124031007752,0.4724677090414684,0.6880733944954129,0.5233644859813082,0.870967741935484,0.7439759036144578,0.2096774193548386,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0472440944881889,0.5,0.0,1
130,0.1666666666666669,0.6201550387596899,0.6496714253342397,0.6819571865443426,0.3244325767690253,0.8387096774193545,0.4407630522088353,0.2096774193548386,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0944881889763779,0.5,0.0588235294117647,1
132,0.1666666666666669,0.627906976744186,0.6671198731021981,0.691131498470948,0.9265687583444592,0.8387096774193545,0.8192771084337349,0.1935483870967741,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0944881889763779,0.5,0.0588235294117647,2
150,0.1666666666666669,0.7751937984496124,0.6478585995921142,0.617737003058104,0.3511348464619492,0.6774193548387095,0.3383534136546185,0.1774193548387096,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0708661417322834,0.5,0.0,2
160,0.1666666666666669,0.751937984496124,0.6267845003399048,0.5932721712538227,0.9532710280373832,0.6129032258064515,0.8232931726907631,0.1612903225806451,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,1.0,0.0,1
188,0.1666666666666669,0.6046511627906976,0.5094040335372763,0.6162079510703364,0.8798397863818423,0.4193548387096775,0.8152610441767069,0.0483870967741935,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.1614173228346456,1.0,0.1176470588235294,2
194,0.1666666666666669,0.6124031007751938,0.5157489236347156,0.6162079510703364,0.9532710280373832,0.3870967741935485,0.8192771084337349,0.1290322580645161,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.1496062992125984,1.0,0.1176470588235294,1
200,0.1666666666666669,0.6124031007751938,0.6435531384545661,0.6788990825688074,0.9532710280373832,0.3870967741935485,0.8423694779116466,0.1451612903225806,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.1259842519685039,0.5,0.1176470588235294,1
230,0.1666666666666669,0.6356589147286822,0.6816224790392024,0.6529051987767585,0.9532710280373832,0.3548387096774195,0.8544176706827309,0.0806451612903226,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0669291338582677,1.0,0.1176470588235294,1
286,0.1666666666666669,0.6201550387596899,0.5202809879900294,0.6131498470948012,0.9532710280373832,0.3870967741935485,0.8152610441767069,0.0967741935483871,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0551181102362204,0.5,0.0,1
368,0.1666666666666669,0.5426356589147286,0.5687740765918876,0.6529051987767585,0.9532710280373832,0.3870967741935485,0.8112449799196787,0.2096774193548386,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.2165354330708661,0.5,0.0588235294117647,1
393,0.1666666666666669,0.5271317829457365,0.5592567414457286,0.6529051987767585,0.863818424566088,0.4516129032258065,0.7991967871485943,0.2258064516129031,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0078740157480314,1.0,0.0,1
460,0.1666666666666669,0.627906976744186,0.5248130523453434,0.6314984709480123,0.9532710280373832,0.5483870967741935,0.7991967871485943,0.2258064516129031,0.0666666666666666,0.3720930232558138,0.0,0.0118110236220472,1.0,0.0,1
463,0.1666666666666669,0.6201550387596899,0.5218672105143893,0.6529051987767585,0.9532710280373832,0.5483870967741935,0.8032128514056225,0.1935483870967741,0.0666666666666666,0.3720930232558138,0.0,0.0118110236220472,1.0,0.0,1
486,0.1666666666666669,0.6124031007751938,0.5130296850215273,0.6529051987767585,0.9532710280373832,0.5161290322580645,0.7991967871485943,0.0483870967741935,0.0666666666666666,0.3720930232558138,0.0,0.1811023622047244,1.0,0.1176470588235294,2
494,0.1666666666666669,0.6124031007751938,0.5139360978925901,0.6529051987767585,0.9532710280373832,0.4838709677419355,0.7991967871485943,0.0645161290322581,0.0666666666666666,0.3720930232558138,0.0,0.2007874015748031,1.0,0.0588235294117647,1
518,0.1666666666666669,0.4418604651162791,0.3763879447088148,0.4204892966360856,0.1668891855807743,0.4838709677419355,0.7279116465863453,0.1774193548387096,0.0666666666666666,0.3720930232558138,0.0,0.9763779527559056,0.5,0.4705882352941176,2
579,0.1666666666666669,0.5503875968992248,0.5778382053025153,0.6880733944954129,0.308411214953271,0.3870967741935485,0.3624497991967871,0.1774193548387096,0.0666666666666666,0.3720930232558138,0.0,0.0236220472440944,1.0,0.0,1
605,0.1666666666666669,0.6744186046511628,0.5685474733741219,0.7262996941896025,0.9532710280373832,0.225806451612903,0.7208835341365462,0.1774193548387096,0.0666666666666666,0.3720930232558138,0.0,0.0511811023622047,0.75,0.0588235294117647,1
611,0.1666666666666669,0.6434108527131783,0.5350101971447995,0.6529051987767585,0.8851802403204272,0.225806451612903,0.7560240963855421,0.1612903225806451,0.0666666666666666,0.3720930232558138,0.0,0.1574803149606299,1.0,0.0588235294117647,1
616,0.1666666666666669,0.689922480620155,0.5791978246091095,0.6865443425076453,0.664886515353805,0.193548387096774,0.7439759036144578,0.1612903225806451,0.0666666666666666,0.3720930232558138,0.0,0.1653543307086614,0.5,0.0,1
684,0.1666666666666669,0.5813953488372093,0.4894629503738953,0.691131498470948,0.2096128170894526,0.3225806451612905,0.1927710843373493,0.1451612903225806,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
728,0.1666666666666669,0.6124031007751938,0.5148425107636528,0.6162079510703364,0.2149532710280373,0.4838709677419355,0.1887550200803213,0.1129032258064516,0.0666666666666666,0.3720930232558138,0.0,0.0039370078740157,1.0,0.0,1
745,0.1666666666666669,0.627906976744186,0.5282121006118287,0.6896024464831805,0.2149532710280373,0.5806451612903225,0.1847389558232931,0.0806451612903226,0.0666666666666666,0.3720930232558138,0.0,0.0196850393700787,1.0,0.0,1
747,0.1666666666666669,0.6434108527131783,0.5406752775889417,0.6865443425076453,0.2149532710280373,0.5806451612903225,0.1887550200803213,0.0483870967741935,0.0666666666666666,0.3720930232558138,0.0,0.0196850393700787,0.75,0.0,1
779,0.1666666666666669,0.6434108527131783,0.5409018808067074,0.6529051987767585,0.2096128170894526,0.6129032258064515,0.1767068273092369,0.1612903225806451,0.0666666666666666,0.3720930232558138,0.0,0.0236220472440944,1.0,0.0,1
805,0.1666666666666669,0.6046511627906976,0.5087242238839792,0.6131498470948012,0.2096128170894526,0.6451612903225805,0.1887550200803213,0.0645161290322581,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0393700787401574,1.0,0.0588235294117647,1
809,0.1666666666666669,0.5968992248062015,0.5001133016088829,0.6896024464831805,0.3190921228304406,0.6451612903225805,0.4999999999999999,0.0483870967741935,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0433070866141732,0.5,0.0588235294117647,2
819,0.1666666666666669,0.627906976744186,0.5275322909585316,0.599388379204893,0.2042723631508677,0.6774193548387095,0.1767068273092369,0.2096774193548386,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0354330708661417,0.5,0.0588235294117647,2
825,0.1666666666666669,0.5813953488372093,0.5016995241332427,0.6529051987767585,0.3404539385847797,0.6774193548387095,0.3072289156626506,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0275590551181102,0.75,0.0,1
853,0.1666666666666669,0.5891472868217054,0.4930886018581464,0.6529051987767585,0.2042723631508677,0.6774193548387095,0.180722891566265,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.3385826771653543,0.75,0.0588235294117647,2
872,0.1666666666666669,0.4418604651162791,0.4736007251302969,0.6896024464831805,0.198931909212283,0.6774193548387095,0.1696787148594377,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0590551181102362,0.25,0.0588235294117647,1
875,0.1666666666666669,0.4883720930232558,0.5164287332880128,0.7125382262996942,0.2202937249666222,0.6774193548387095,0.1736947791164658,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0669291338582677,0.25,0.0588235294117647,2
892,0.1666666666666669,0.4806201550387596,0.5098572399728076,0.691131498470948,0.2096128170894526,0.6774193548387095,0.180722891566265,0.1612903225806451,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0551181102362204,0.5,0.1764705882352941,2
916,0.1666666666666669,0.6124031007751938,0.5175617493768412,0.573394495412844,0.2096128170894526,0.6451612903225805,0.1847389558232931,0.1935483870967741,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0472440944881889,1.0,0.0588235294117647,1
937,0.1666666666666669,0.4806201550387596,0.5098572399728076,0.6529051987767585,0.2149532710280373,0.6451612903225805,0.1767068273092369,0.2258064516129031,0.0666666666666666,0.3720930232558138,0.0,0.6811023622047244,0.0,0.5294117647058824,2
945,0.1666666666666669,0.4341085271317829,0.4588715159755269,0.5336391437308868,0.3658210947930574,0.6451612903225805,0.4999999999999999,0.2741935483870968,0.0666666666666666,0.3720930232558138,0.0,0.7322834645669292,0.25,0.5294117647058824,2
990,0.1666666666666669,0.4651162790697674,0.4949014276002719,0.5611620795107034,0.3511348464619492,0.5483870967741935,0.5672690763052208,0.0967741935483871,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0590551181102362,0.75,0.1764705882352941,2
1032,0.1666666666666669,0.5736434108527132,0.6027645592567414,0.7079510703363915,0.9532710280373832,0.7741935483870965,0.8152610441767069,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.1181102362204724,1.0,0.0588235294117647,1
1076,0.1666666666666669,0.6821705426356589,0.7165193745751189,0.680428134556575,0.3711615487316421,0.290322580645161,0.5903614457831325,0.2096774193548386,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.1377952755905512,0.5,0.0588235294117647,2
1082,0.1666666666666669,0.6124031007751938,0.6557897122139135,0.5565749235474007,0.2296395193591455,0.258064516129032,0.1616465863453815,0.2580645161290321,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0787401574803149,0.5,0.1176470588235294,1
1086,0.1666666666666669,0.5348837209302325,0.5737593473827328,0.5428134556574924,0.4339118825100134,0.258064516129032,0.7520080321285141,0.2580645161290321,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0748031496062992,0.5,0.1176470588235294,1
1141,0.1666666666666669,0.4651162790697674,0.4915023793337865,0.6529051987767585,0.9532710280373832,0.3225806451612905,0.8232931726907631,0.2096774193548386,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0118110236220472,1.0,0.0,1
1175,0.1666666666666669,0.4341085271317829,0.6446861545433945,0.6865443425076453,0.9532710280373832,0.4193548387096775,0.8343373493975903,0.2258064516129031,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0354330708661417,0.5,0.0588235294117647,1
1190,0.1666666666666669,0.3875968992248062,0.5742125538182642,0.5764525993883792,0.2510013351134846,0.4838709677419355,0.2439759036144578,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0551181102362204,1.0,0.1176470588235294,1
1195,0.1666666666666669,0.3565891472868217,0.5363698164513936,0.6131498470948012,0.2096128170894526,0.4838709677419355,0.2319277108433735,0.1612903225806451,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0629921259842519,0.75,0.1176470588235294,1
1208,0.1666666666666669,0.3798449612403101,0.3077271697258101,0.680428134556575,0.1722296395193591,0.4838709677419355,0.2008032128514056,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0551181102362204,1.0,0.0588235294117647,1
1217,0.1666666666666669,0.6201550387596899,0.6539768864717879,0.6896024464831805,0.2296395193591455,0.5161290322580645,0.1576305220883534,0.1935483870967741,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0275590551181102,0.5,0.0588235294117647,1
1219,0.1666666666666669,0.6434108527131783,0.6739179696351688,0.6987767584097859,0.2296395193591455,0.5161290322580645,0.1536144578313253,0.1935483870967741,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0157480314960629,0.5,0.0588235294117647,1
1226,0.1666666666666669,0.6666666666666666,0.7067754362111942,0.6529051987767585,0.2349799732977303,0.4838709677419355,0.1495983935742972,0.2419354838709676,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0196850393700787,1.0,0.0,1
1255,0.1666666666666669,0.5116279069767442,0.5422615001133017,0.6926605504587157,0.2042723631508677,0.3225806451612905,0.1656626506024096,0.0806451612903226,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0354330708661417,0.5,0.1176470588235294,1
1260,0.1666666666666669,0.4961240310077519,0.5273056877407659,0.5886850152905199,0.2042723631508677,0.290322580645161,0.1656626506024096,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0354330708661417,0.5,0.0,1
1302,0.1666666666666669,0.5116279069767442,0.5501926127351009,0.5351681957186545,0.2096128170894526,0.161290322580645,0.1696787148594377,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0669291338582677,1.0,0.0,1
1311,0.1666666666666669,0.4883720930232558,0.5155223204169499,0.617737003058104,0.2042723631508677,0.193548387096774,0.1736947791164658,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0669291338582677,0.75,0.0,1
1346,0.1666666666666669,0.5348837209302325,0.4473147518694765,0.6146788990825689,0.9532710280373832,0.3870967741935485,0.8343373493975903,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0078740157480314,1.0,0.0,1
1366,0.1666666666666669,0.5038759689922481,0.5304781327894856,0.6529051987767585,0.9532710280373832,0.5806451612903225,0.8152610441767069,0.2419354838709676,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0,1.0,0.0,1
1375,0.1666666666666669,0.5116279069767442,0.5422615001133017,0.4877675840978593,0.2096128170894526,0.6774193548387095,0.1767068273092369,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0039370078740157,1.0,0.0,1
1384,0.1666666666666669,0.4108527131782946,0.4328121459324722,0.3654434250764526,0.1935914552736982,0.6774193548387095,0.1847389558232931,0.1612903225806451,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0118110236220472,1.0,0.0,1
1389,0.1666666666666669,0.1937984496124031,0.2331747110808973,0.5076452599388379,0.1668891855807743,0.6774193548387095,0.2791164658634538,0.1290322580645161,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0393700787401574,1.0,0.0,1
1395,0.1666666666666669,0.1085271317829457,0.2719238613188307,0.5749235474006117,0.1615487316421895,0.7096774193548385,0.2208835341365461,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0944881889763779,1.0,0.0,1
1440,0.1666666666666669,0.3178294573643411,0.4665760253795604,0.7721712538226301,0.2042723631508677,0.8387096774193545,0.1927710843373493,0.1129032258064516,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.3976377952755905,1.0,0.0,1
1461,0.1666666666666669,0.4186046511627906,0.6247450713800136,0.6529051987767585,0.2256341789052069,0.6451612903225805,0.1736947791164658,0.1129032258064516,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0118110236220472,1.0,0.0588235294117647,1
1464,0.1666666666666669,0.4418604651162791,0.651710854294131,0.6529051987767585,0.2296395193591455,0.5806451612903225,0.1536144578313253,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0157480314960629,0.75,0.0588235294117647,1
1470,0.1666666666666669,0.4573643410852713,0.6802628597326082,0.6162079510703364,0.2349799732977303,0.4193548387096775,0.1576305220883534,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0275590551181102,0.5,0.0588235294117647,1
1489,0.1666666666666669,0.5116279069767442,0.5354634035803308,0.72782874617737,0.2149532710280373,0.161290322580645,0.1767068273092369,0.1612903225806451,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0236220472440944,1.0,0.0,1
1501,0.1666666666666669,0.5348837209302325,0.5612961704056197,0.5596330275229358,0.2202937249666222,0.032258064516129,0.180722891566265,0.1129032258064516,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0078740157480314,1.0,0.0,1
1540,0.1666666666666669,0.3720930232558139,0.5465669612508498,0.8012232415902141,0.9532710280373832,0.129032258064516,0.8232931726907631,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.326771653543307,1.0,0.5294117647058824,2
1541,0.1666666666666669,0.3798449612403101,0.5572173124858373,0.8241590214067279,0.9532710280373832,0.129032258064516,0.8273092369477912,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.3228346456692913,1.0,0.5294117647058824,2
1568,0.1666666666666669,0.4961240310077519,0.5252662587808747,0.6162079510703364,0.9532710280373832,0.3870967741935485,0.8192771084337349,0.1612903225806451,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0118110236220472,0.5,0.0,1
1571,0.1666666666666669,0.4728682170542636,0.7088148651710855,0.6957186544342508,0.837116154873164,0.4516129032258065,0.8624497991967872,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0078740157480314,0.5,0.0,1
1629,0.1666666666666669,0.5968992248062015,0.5028325402220711,0.5107033639143731,0.2042723631508677,0.064516129032258,0.180722891566265,0.2096774193548386,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0314960629921259,0.75,0.0588235294117647,1
1630,0.1666666666666669,0.5968992248062015,0.5001133016088829,0.5963302752293579,0.2042723631508677,0.064516129032258,0.180722891566265,0.2096774193548386,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0314960629921259,0.75,0.0588235294117647,1
1646,0.1666666666666669,0.6666666666666666,0.5610695671878541,0.6926605504587157,0.2256341789052069,0.0,0.1927710843373493,0.1451612903225806,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0157480314960629,1.0,0.0,1
1651,0.1666666666666669,0.6744186046511628,0.5742125538182642,0.6529051987767585,0.623497997329773,0.0,0.8112449799196787,0.1451612903225806,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0078740157480314,1.0,0.0,1
1682,0.1666666666666669,0.5348837209302325,0.5642420122365738,0.6330275229357799,0.3658210947930574,0.258064516129032,0.571285140562249,0.1935483870967741,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
1742,0.1666666666666669,0.5116279069767442,0.5393156582823476,0.6131498470948012,0.2096128170894526,0.6451612903225805,0.1967871485943775,0.1612903225806451,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
