,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,distance_travelled,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level,risk_level_train,risk_propagation_pred,risk_spreading_pred
0,18,0.0,597.0,0.0,12.9,91.0,0.0,23.9,59.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
1,18,0.0,597.0,0.0,12.9,91.0,0.0,23.9,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
2,18,0.0,597.0,0.0,12.9,91.0,0.0,23.9,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
3,18,0.0,597.0,0.0,12.9,91.0,0.0,23.9,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
4,18,0.0,597.0,0.0,12.9,91.0,0.0,23.9,62.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
6,18,0.0,597.0,0.0,12.9,91.0,0.0,23.9,62.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
7,18,0.0,612.0,0.0,12.9,91.0,0.0,24.3,62.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
8,18,0.0,622.0,0.0,12.9,91.0,0.0,24.3,62.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
9,18,0.0,593.0,0.0,12.9,91.0,0.0,23.9,62.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
10,18,0.0,611.0,0.0,12.9,91.0,0.0,24.3,62.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
11,18,0.0,602.0,0.0,12.9,91.0,0.0,24.3,59.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
12,18,0.0,603.0,0.0,12.9,91.0,0.0,23.9,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
13,18,0.0,601.0,0.0,12.9,91.0,0.0,23.9,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
14,18,0.0,602.0,0.0,12.9,91.0,0.0,24.7,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
15,18,0.0,617.0,0.0,12.9,91.0,0.0,24.3,59.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
16,18,0.0,614.0,0.0,12.9,91.0,0.0,24.7,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
17,18,0.0,590.0,0.0,12.9,91.0,0.0,24.3,59.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
